distance,CLEAR,PCS,CQR,S-Naive
0.01,3.1963581549169233,2.8204228522784125,3.3527794311971757,3.297465081623203
0.26,3.293308654637967,2.9750473081504047,3.4289322149152843,3.297465081623203
0.51,3.318283189086065,3.1754475686156862,3.426851636091897,3.297465081623203
0.76,3.3776738127231,3.3496924732730373,3.4707566993798107,3.297465081623203
1.01,3.393160502907585,3.6873591979962375,3.4404222492439835,3.297465081623203
1.26,3.432596812099299,4.3257523436742025,3.382040558658966,3.2974650816232027
1.51,3.4742651622959353,4.900600785982456,3.3394533153436874,3.297465081623203
1.76,3.5799468328404243,5.688852716865358,3.332049673470387,3.297465081623203
2.01,3.7047859997161123,7.106568847750282,3.2562448381386493,3.2974650816232027
2.26,3.9517440517315405,9.168811579776145,3.2175516336934074,3.2974650816232027
2.51,4.356939294520268,12.058111525785803,3.220530855463574,3.2974650816232027
2.76,5.077887246519531,16.349998555621024,3.3444717638860446,3.2974650816232027
3.01,6.007632656982944,22.259152110039903,3.47474737673355,3.297465081623203
3.26,7.046776384939161,29.866726049938944,3.4742998399273826,3.297465081623203
3.51,8.232233096124206,38.54927618465064,3.4705555061055486,3.297465081623202
3.76,9.50451725858,47.846839951194134,3.470982507888207,3.2974650816232027
4.01,10.836107051259674,57.48870531396859,3.4683764724553923,3.2974650816232027
4.26,12.209752431972525,67.39546303695256,3.469889856445618,3.297465081623202
4.51,13.599848708410006,77.36749267866469,3.4704333414019435,3.297465081623203
4.76,14.987890275928846,87.37700577543035,3.469270391418762,3.297465081623203
5.01,16.396132524899837,97.5456961325448,3.469714458606373,3.297465081623203
5.26,17.800932140753545,107.65383538459724,3.468819614390262,3.297465081623203
5.51,19.247527447982087,118.04404455785118,3.4719867384151906,3.2974650816232036
5.76,20.640415640797187,128.17106771510376,3.4671669074933016,3.2974650816232036
6.01,22.086140048336986,138.55037459761502,3.469588011303373,3.2974650816232027
