feature,importance_rf
absRoll,0.3670660913627169
p,0.09975186017966128
SeTime1,0.09638318711010618
SeTime3,0.07096456165700268
SeTime2,0.045458929196750514
curRoll,0.04472079491490336
SeTime4,0.043262893141698115
SeTime5,0.03180371179297286
SeTime6,0.03072580986773053
SeTime7,0.02525139702247315
diffRollRate,0.024079297659333924
q,0.013436822550517683
Sgz,0.011874998759865883
diffClb,0.01161036271046669
SeTime9,0.01119580712755439
climbRate,0.00898208210886771
SeTime11,0.008726129599874663
SeTime10,0.008434615269589813
curPitch,0.0077419235702043555
SeTime8,0.00708612940750479
diffDiffClb,0.007037480721712478
SeTime14,0.004387552360435018
SeTime12,0.004228948534262978
SeTime13,0.004129015631532204
Se,0.0036184711850920977
diffSeTime1,0.0016230085921721722
alpha,0.0013452427344435238
diffSeTime11,0.0011911276992141637
diffSeTime9,0.001123850764972217
diffSeTime7,0.0011205276758582986
diffSeTime13,0.001095387972830339
diffSeTime5,0.00032291513989644486
diffSeTime3,0.00021906597778248248
diffSeTime6,0.0
diffSeTime2,0.0
diffSeTime4,0.0
diffSeTime8,0.0
diffSeTime10,0.0
diffSeTime12,0.0
diffSeTime14,0.0
