distance,CLEAR,PCS,CQR,S-Naive
0.01,0.8878600000000005,0.73359,0.9110600000000004,0.8892900000000004
0.26,0.8964400000000006,0.7522599999999998,0.9165699999999997,0.8940800000000002
0.51,0.9012400000000003,0.76961,0.9206100000000004,0.8994900000000005
0.76,0.9011700000000004,0.7819099999999999,0.9192700000000005,0.8988900000000004
1.01,0.8981000000000006,0.7970899999999999,0.9148799999999997,0.8979100000000005
1.26,0.89684,0.8161100000000002,0.91173,0.8999900000000005
1.51,0.89397,0.83651,0.9054700000000004,0.8985
1.76,0.8916600000000002,0.85783,0.8985100000000003,0.8991000000000006
2.01,0.8928800000000008,0.8808399999999998,0.8926399999999997,0.9013100000000006
2.26,0.8920800000000003,0.8953799999999998,0.8838299999999998,0.8997499999999999
2.51,0.8968500000000001,0.9106199999999993,0.8769600000000004,0.8992700000000003
2.76,0.9059199999999998,0.9218199999999998,0.8747700000000002,0.8994200000000007
3.01,0.9160699999999998,0.9326800000000003,0.8724599999999997,0.8980100000000006
3.26,0.9263599999999999,0.9429100000000002,0.8720199999999998,0.8973800000000003
3.51,0.9357100000000002,0.95244,0.8700299999999997,0.8943400000000002
3.76,0.9424999999999999,0.9612099999999997,0.8667500000000001,0.8893600000000004
4.01,0.9478899999999999,0.9678299999999996,0.8597900000000002,0.8819200000000004
4.26,0.9532000000000003,0.9742200000000001,0.85052,0.8736699999999995
4.51,0.9583400000000007,0.9801799999999997,0.8410700000000001,0.86234
4.76,0.9632100000000001,0.9847100000000002,0.8307800000000001,0.8505699999999998
5.01,0.9665600000000001,0.9883299999999996,0.8175900000000003,0.8342899999999998
5.26,0.9707399999999998,0.99216,0.80151,0.8171000000000005
5.51,0.9723999999999997,0.9939899999999998,0.7841300000000001,0.79695
5.76,0.9756999999999998,0.9959699999999998,0.7672600000000002,0.7762200000000001
6.01,0.9775100000000001,0.9972699999999998,0.7443200000000002,0.75204
