distance,CLEAR,PCS,CQR,S-Naive
0.01,3.4341896093975355,2.3860336646816807,3.6499171535653603,3.3433716116462104
0.26,3.454612482959577,2.4494429725614966,3.6599973071274885,3.3433716116462104
0.51,3.4488083369644227,2.537725452044481,3.6394423640055185,3.3433716116462104
0.76,3.4412391310063777,2.609887462991338,3.6208167511714224,3.3433716116462104
1.01,3.4152323667152378,2.707023825382113,3.578615115263237,3.3433716116462104
1.26,3.393217085274658,2.853199799095531,3.5312048179189093,3.3433716116462104
1.51,3.375822190813498,3.0504381298878327,3.4790996152601377,3.3433716116462104
1.76,3.3569712777485137,3.2958600800075315,3.415509146584344,3.3433716116462104
2.01,3.351628301630878,3.622713434656727,3.349593819208067,3.3433716116462104
2.26,3.377580460252283,4.071483547159875,3.290976630653661,3.3433716116462104
2.51,3.461793089541599,4.7042457814319185,3.255218387751502,3.3433716116462104
2.76,3.620813897002884,5.59412901639629,3.2440379769872094,3.3433716116462104
3.01,3.8571569824860217,6.812734404703474,3.2449208461239163,3.3433716116462104
3.26,4.170602124478289,8.394816109943395,3.248880946384144,3.3433716116462104
3.51,4.564942695047333,10.381732155088343,3.25550318483941,3.3433716116462104
3.76,5.010588307764784,12.632907288893191,3.2634801369013604,3.3433716116462104
4.01,5.526530073673671,15.251186057970033,3.27161238007478,3.3433716116462104
4.26,6.082833642005032,18.05627685407838,3.2849400323420004,3.3433716116462104
4.51,6.6789410608442505,21.084457062266367,3.2978906138763566,3.3433716116462104
4.76,7.329780563378881,24.37891140854905,3.3143020133849213,3.3433716116462104
5.01,7.991264380300906,27.7611111158226,3.3316295710294654,3.3433716116462104
5.26,8.673419598553318,31.221509798428507,3.349082497602548,3.3433716116462104
5.51,9.397713991426683,34.93988319457552,3.3674439399912184,3.3433716116462104
5.76,10.107329263402448,38.631696342373324,3.3842279961334873,3.3433716116462104
6.01,10.83684797273356,42.41502410875267,3.401702107321619,3.3433716116462104
