distance,CLEAR,PCS,CQR,S-Naive
0.01,0.8950999999999999,0.9053299999999996,0.9216300000000005,0.9973600000000001
0.26,0.9002100000000003,0.8696700000000002,0.9203100000000002,0.9845399999999994
0.51,0.8959599999999999,0.8565300000000002,0.9107200000000006,0.9558599999999999
0.76,0.8981900000000002,0.8681900000000001,0.9067700000000001,0.9161800000000002
1.01,0.8981300000000002,0.90661,0.8962400000000003,0.8719999999999999
1.26,0.89279,0.9393799999999999,0.8795999999999999,0.8217599999999997
1.51,0.8914599999999999,0.9616899999999997,0.8685899999999998,0.7762600000000001
1.76,0.8956300000000001,0.9822699999999998,0.8592999999999997,0.7310999999999995
2.01,0.9009000000000001,0.99568,0.84359,0.6913699999999997
2.26,0.9136700000000003,0.9991500000000001,0.8329099999999998,0.64815
2.51,0.9364299999999998,0.9999300000000001,0.8347399999999999,0.6149700000000002
2.76,0.9584399999999996,0.9999899999999999,0.8434500000000001,0.5789499999999999
3.01,0.9708699999999995,1.0,0.8359600000000001,0.5457099999999998
3.26,0.9746299999999999,1.0,0.8024099999999996,0.5107799999999999
3.51,0.9787199999999996,1.0,0.77184,0.4786500000000001
3.76,0.9815599999999995,1.0,0.7417699999999999,0.44959000000000027
4.01,0.9822999999999997,1.0,0.7067499999999997,0.42196000000000006
4.26,0.9833300000000001,1.0,0.6766100000000002,0.3940800000000001
4.51,0.9838800000000001,1.0,0.6451400000000004,0.3669200000000001
4.76,0.98442,1.0,0.6152400000000002,0.3431299999999998
5.01,0.9840199999999996,1.0,0.5843999999999999,0.32405
5.26,0.9832299999999999,1.0,0.5588400000000002,0.30482999999999993
5.51,0.9823499999999997,1.0,0.52818,0.28540999999999994
5.76,0.9820599999999996,1.0,0.50114,0.26958000000000004
6.01,0.98151,1.0,0.47869000000000006,0.2562900000000001
