feature,importance_rf
FCFP6_1024_652_1.0,0.05422033191589198
FCFP6_1024_867_1.0,0.04484804658597096
FCFP6_1024_907_1.0,0.04455440348705696
FCFP6_1024_602_1.0,0.03237240250548985
FCFP6_1024_238_1.0,0.027161751156820443
FCFP6_1024_123_1.0,0.014730850339034391
FCFP6_1024_651_1.0,0.014619773788291386
FCFP6_1024_728_1.0,0.01258317281035955
FCFP6_1024_634_1.0,0.011815875798532246
FCFP6_1024_702_1.0,0.011616861313263178
FCFP6_1024_708_1.0,0.01149702004639309
FCFP6_1024_911_1.0,0.010430227725020674
FCFP6_1024_346_1.0,0.009329713662808181
FCFP6_1024_994_1.0,0.00886096032956403
FCFP6_1024_662_1.0,0.00866179078698152
FCFP6_1024_344_1.0,0.008502318612662147
FCFP6_1024_439_1.0,0.008475501754442323
FCFP6_1024_77_1.0,0.00815765151173416
FCFP6_1024_49_1.0,0.007366985475307685
FCFP6_1024_105_1.0,0.007347358648004997
FCFP6_1024_727_1.0,0.007009936354833989
FCFP6_1024_491_1.0,0.006266435279829802
FCFP6_1024_936_1.0,0.006133858063441511
FCFP6_1024_523_1.0,0.006078892904635036
FCFP6_1024_264_1.0,0.005899223101908345
FCFP6_1024_317_1.0,0.005656661995062286
FCFP6_1024_614_1.0,0.005640224664537899
FCFP6_1024_713_1.0,0.00554042159524442
FCFP6_1024_834_1.0,0.0053216434018759536
FCFP6_1024_151_1.0,0.005272296835737694
FCFP6_1024_922_1.0,0.005259798050681593
FCFP6_1024_357_1.0,0.005155536686442737
FCFP6_1024_1014_1.0,0.005120801276113807
FCFP6_1024_362_1.0,0.005018519804870432
FCFP6_1024_350_1.0,0.004727568350866078
FCFP6_1024_526_1.0,0.0044895551114890655
FCFP6_1024_814_1.0,0.004489249760488793
FCFP6_1024_1003_1.0,0.004182138166034018
FCFP6_1024_669_1.0,0.0041734529089484
FCFP6_1024_968_1.0,0.004065755789583523
FCFP6_1024_128_1.0,0.004004946064172642
FCFP6_1024_471_1.0,0.003991237195752043
FCFP6_1024_939_1.0,0.0038937056809196925
FCFP6_1024_364_1.0,0.003821480879336294
FCFP6_1024_588_1.0,0.003816097038631231
FCFP6_1024_605_1.0,0.0038008014437162702
FCFP6_1024_540_1.0,0.0037613788320276166
FCFP6_1024_17_1.0,0.003733376593894318
FCFP6_1024_120_1.0,0.003712617867359774
FCFP6_1024_53_1.0,0.003693935698937151
FCFP6_1024_520_1.0,0.00367980769876306
FCFP6_1024_858_1.0,0.003670667452939293
FCFP6_1024_163_1.0,0.0036414150462960103
FCFP6_1024_137_1.0,0.003549748636881948
FCFP6_1024_407_1.0,0.0035299242808094237
FCFP6_1024_395_1.0,0.0035286319605922216
FCFP6_1024_846_1.0,0.00345564982072427
FCFP6_1024_489_1.0,0.003428118009798796
FCFP6_1024_807_1.0,0.003390144563619438
FCFP6_1024_428_1.0,0.003347798504563089
FCFP6_1024_737_1.0,0.003339903921781086
FCFP6_1024_556_1.0,0.003313907709174672
FCFP6_1024_941_1.0,0.003276974702055015
FCFP6_1024_642_1.0,0.003214572372346605
FCFP6_1024_32_1.0,0.0031509080442878755
FCFP6_1024_467_1.0,0.003139710029362903
FCFP6_1024_668_1.0,0.003092182837952562
FCFP6_1024_942_1.0,0.0030901115852044027
FCFP6_1024_970_1.0,0.0030418348936345923
FCFP6_1024_498_1.0,0.0030128248577416983
FCFP6_1024_78_1.0,0.0029522419934081136
FCFP6_1024_887_1.0,0.00292436767526016
FCFP6_1024_180_1.0,0.0029087675900184807
FCFP6_1024_365_1.0,0.002872303999644828
FCFP6_1024_890_1.0,0.0028050666903538897
FCFP6_1024_607_1.0,0.002801305244706138
FCFP6_1024_452_1.0,0.0027757802291281867
FCFP6_1024_486_1.0,0.0027483809307705443
FCFP6_1024_985_1.0,0.0027452781149448946
FCFP6_1024_287_1.0,0.0027381049934024127
FCFP6_1024_280_1.0,0.0027272417256358717
FCFP6_1024_251_1.0,0.0026917049104425743
FCFP6_1024_29_1.0,0.002685987272897539
FCFP6_1024_460_1.0,0.0026756846088697404
FCFP6_1024_213_1.0,0.002658229731611247
FCFP6_1024_356_1.0,0.0026421070945004954
FCFP6_1024_170_1.0,0.002618506225610292
FCFP6_1024_875_1.0,0.0026022061105514193
FCFP6_1024_353_1.0,0.0025838260063955607
FCFP6_1024_824_1.0,0.0025584011945208557
FCFP6_1024_803_1.0,0.0025470312004260546
FCFP6_1024_193_1.0,0.0025368737175316338
FCFP6_1024_405_1.0,0.002531851017684839
FCFP6_1024_816_1.0,0.002527504446687948
FCFP6_1024_259_1.0,0.0024901282395606867
FCFP6_1024_724_1.0,0.0024897258337665037
FCFP6_1024_648_1.0,0.002466932159240608
FCFP6_1024_463_1.0,0.002464650465428671
FCFP6_1024_263_1.0,0.0023977524016128397
FCFP6_1024_694_1.0,0.002358738198577299
FCFP6_1024_798_1.0,0.0023405229200578683
FCFP6_1024_330_1.0,0.0023094683963160445
FCFP6_1024_984_1.0,0.00227793914235171
FCFP6_1024_679_1.0,0.002275050615372833
FCFP6_1024_7_1.0,0.0022700118815167703
FCFP6_1024_214_1.0,0.002251015066464078
FCFP6_1024_412_1.0,0.0022210476427468777
FCFP6_1024_573_1.0,0.0022083651656448935
FCFP6_1024_318_1.0,0.002158024954999354
FCFP6_1024_447_1.0,0.0021464568665826847
FCFP6_1024_258_1.0,0.0021398398748047596
FCFP6_1024_932_1.0,0.002107181706261227
FCFP6_1024_363_1.0,0.0020670767123054773
FCFP6_1024_874_1.0,0.0020516115740881217
FCFP6_1024_825_1.0,0.0020508196336845876
