PICP,NIW,MPIW,QuantileLoss,ExpectileLoss,CRPS,IntervalScoreLoss,AUC,NCIW,c_test_cal,method,lambda,gamma,run,dataset,c_multiplier
0.9485069362802727,0.22817878233161754,30.963632583618164,0.5785292868186049,15.34782604459884,4.583044192955153,46.28234292146711,1.4635936476784137,0.23317812519161446,1.0219097622001123,CLEAR,0.44926232467029337,0.7243711671464397,run_0,superconductor,
0.9541500117564072,0.32124631688574073,43.592803955078125,0.7326106682849614,32.195608275652035,5.283011162085293,58.60885345293048,6.6115179708525345,0.3069520441149264,0.9555036991259935,DE_calibrated,,,run_0,superconductor,7.010516244894293
0.9546202680460851,0.32158491944408274,43.63875198364258,0.7326603800474045,32.21247816689724,5.2850014648532655,58.61283047455662,6.530402128638457,0.3063153461953663,0.952517757128933,DE_conformal,,,run_0,superconductor,
0.9482718081354338,0.25698205323253354,34.87220764160156,0.577545924462395,17.419090109082518,6.04330928888437,46.20367397016954,4.7331511697240884,0.2588340024656697,1.0072065313894134,SQR_uncalibrated,,,run_0,superconductor,
0.9499177051493064,0.25880078048177,35.1190071105957,0.5775081254781136,17.494209709694807,6.044713121203689,46.2006500540524,6.346321278998429,0.25976255462185166,1.0037162721777393,SQR_conformal,,,run_0,superconductor,
0.943804373383494,0.21208699747721957,28.737703323364258,0.5290163663320311,13.415978666350998,4.369806973207828,42.32130932141806,1.3414906433076415,0.22228531785793473,1.0480855521650287,CLEAR,0.29682467434632415,0.8130729473448427,run_1,superconductor,
0.9463907829767223,0.3236509354724485,43.85457229614258,0.7246083151933145,34.22794854385762,5.2161345754526405,57.96866522959195,2.615764148483805,0.3336286012138663,1.030828477992356,DE_calibrated,,,run_1,superconductor,7.73570678774939
0.9466259111215612,0.3237784959472436,43.871856689453125,0.7245935963469343,34.23452993057119,5.216896307993902,57.96748766671956,2.6070566230803625,0.33347059567740744,1.0299343528105802,DE_conformal,,,run_1,superconductor,
0.9623794968257701,0.27279591591261504,36.96373748779297,0.556300390997715,18.406364710067017,6.334629093135408,44.50403124714167,1.3780877934509173,0.2608004217509164,0.9560275888971109,SQR_uncalibrated,,,run_1,superconductor,
0.9487420644251117,0.26562519292571657,35.99210739135742,0.5549825088665314,18.055049846598045,6.331864949961707,44.39860067085554,1.4471206053693761,0.2668339223866106,1.0045505076065282,SQR_conformal,,,run_1,superconductor,
