PICP,NIW,MPIW,QuantileLoss,ExpectileLoss,CRPS,IntervalScoreLoss,AUC,NCIW,c_test_cal,method,lambda,gamma,run,dataset,c_multiplier
0.9503012048192772,0.11799993714497936,0.00731599610298872,0.00011689430314259253,5.202558441058201e-07,0.001072533068106521,0.009351544251407393,0.3286107106009226,0.11792441575922102,0.9993599879153703,CLEAR,0.1798870915128788,0.9361772254057017,run_0,elevator,
0.9566265060240964,0.17219881016400554,0.010676326230168343,0.00015680512873482544,1.2037981489478933e-06,0.0012453957743456482,0.012544410287425012,0.8871997787440283,0.16310579093249508,0.9471946454052146,DE_calibrated,,,run_0,elevator,8.565446365592159
0.9572289156626506,0.1726767438794336,0.010705958120524883,0.00015685578760970116,1.2071052895016263e-06,0.0012466197407153632,0.012548462991243653,0.8820893984414462,0.16192296604291653,0.9377230680002538,DE_conformal,,,run_0,elevator,
0.9442771084337349,0.11083416099990567,0.006871717981994152,0.00011089263670370889,4.903939348409466e-07,0.001070442687119406,0.008871410936016183,0.36370035980795323,0.11307276021364143,1.0201977368127293,SQR_uncalibrated,,,run_0,elevator,
0.9545180722891566,0.11451842053042305,0.0071001420728862286,0.00011086204231349221,5.052385256952939e-07,0.001075036926722401,0.008868963385359889,0.36449694049981807,0.11245598592905234,0.9819903680838595,SQR_conformal,,,run_0,elevator,
0.944578313253012,0.1326981000602245,0.007431093603372574,0.00011998056427790253,6.430852579155552e-07,0.0010996502051032033,0.009598445140128304,0.2950787911278874,0.1363379806057942,1.027429786439427,CLEAR,0.19952623149688797,0.8440123711193551,run_1,elevator,
0.9536144578313253,0.19863987940230537,0.011123833246529102,0.0001627727823420317,1.3733482589732116e-06,0.0012783416091498372,0.013021822583715778,0.9026004740206272,0.18965021006454605,0.9547438844364553,DE_calibrated,,,run_1,elevator,9.402644145135428
0.9542168674698795,0.19870921304183345,0.011127715930342674,0.00016277659638172826,1.3738007206785076e-06,0.0012785097816558118,0.013022127704257258,0.9015510130211378,0.18960140314921203,0.9541651353090308,DE_conformal,,,run_1,elevator,
0.9575301204819278,0.14505059724407535,0.00812283344566822,0.00011911862433147457,8.353826496277352e-07,0.001186017693093492,0.00952948994820107,0.28192768645636307,0.14041029244733716,0.9680090610800451,SQR_uncalibrated,,,run_1,elevator,
0.9481927710843373,0.13973798403250318,0.007825327105820179,0.00011892216585503608,8.111777380585919e-07,0.0011790256951675158,0.009513773269805471,0.2828222789819025,0.1415055096587663,1.0126488559177438,SQR_conformal,,,run_1,elevator,
