PICP,NIW,MPIW,QuantileLoss,ExpectileLoss,CRPS,IntervalScoreLoss,AUC,NCIW,c_test_cal,method,lambda,gamma,run,dataset,c_multiplier
0.9652226967663209,0.2100204399374738,0.28124216198921204,0.004082469070430077,0.0006745601329002455,0.04018214088929946,0.3265975256525891,0.3290039276639176,0.19432417751928804,0.9252631676095014,CLEAR,0.27701290391637334,1.0475618486603364,run_0,kin8nm,
0.9530201342281879,0.2670854986080121,0.3576590120792389,0.0051990556216513426,0.0011410278231094096,0.04441823563083663,0.41592444955936636,1.4169983003858595,0.2578856236902213,0.9655545697323947,DE_calibrated,,,run_0,kin8nm,5.467011658081018
0.9548505186089079,0.268670490758726,0.35978150367736816,0.00520071539242347,0.001149101615927137,0.0444959795400839,0.4160572325818959,1.3516547435882247,0.25668587235406387,0.9553928741082895,DE_conformal,,,run_0,kin8nm,
0.9737644905430141,0.2521829581489608,0.33770275115966797,0.004484504255855159,0.0009084897341373076,0.04477967265963992,0.35876034059114925,0.28789119724117274,0.21786339544485198,0.8639100637250962,SQR_uncalibrated,,,run_0,kin8nm,
0.9572910311165345,0.22552856628530588,0.30200937390327454,0.004346137955790454,0.0007794205883595695,0.04366805563883711,0.34769103654619693,0.29477366075636174,0.21988353561539006,0.9749697753907833,SQR_conformal,,,run_0,kin8nm,
0.9554606467358145,0.20036385289987094,0.27844178676605225,0.004063180782584507,0.0006663735380135513,0.040478404238759584,0.3250544625340273,0.3410942259062699,0.19448747330883415,0.9706714584193316,CLEAR,0.11284959375277616,1.3686899795786018,run_1,kin8nm,
0.9542403904820013,0.2553348773468262,0.3548339605331421,0.005135016177348359,0.0011104005353935412,0.044190513183896656,0.41080129412422706,1.1781325645348129,0.24863640320616107,0.9737659257118781,DE_calibrated,,,run_1,kin8nm,5.688529308438416
0.9548505186089079,0.2565394036793731,0.3565078675746918,0.005136875256953782,0.0011167453503610342,0.04425135485764654,0.4109500199177581,1.1614529594996594,0.24668277315135007,0.9615784928683236,DE_conformal,,,run_1,kin8nm,
0.9823062843197071,0.2437222544371316,0.33869612216949463,0.004462037986628623,0.0009105855949331765,0.04439872898166968,0.35696303869958973,0.27374008041853715,0.2049829774807676,0.8410515402221637,SQR_uncalibrated,,,run_1,kin8nm,
0.9621720561317877,0.21336594766335948,0.2965105473995209,0.004217130251601652,0.0007572355950194625,0.04305559773107188,0.3373704205327088,0.2957989336294584,0.2067482601726185,0.9689843315523707,SQR_conformal,,,run_1,kin8nm,
0.9591214154972544,0.19587112664078613,0.2778148353099823,0.004082656608733151,0.0006624705417294064,0.03972808049576473,0.3266125285622776,0.34339256330990464,0.18889424229274704,0.9643802306767031,CLEAR,0.1318256738556407,1.3228856935105415,run_2,kin8nm,
0.9438682123245882,0.24121589658145268,0.34212982654571533,0.005094150981210294,0.0010418943909760213,0.04329752500518986,0.4075320782513495,1.101081656322377,0.25316125069832573,1.0495214216233855,DE_calibrated,,,run_2,kin8nm,5.1286138399136485
0.9438682123245882,0.24137821342343554,0.3423600494861603,0.005093798197793638,0.001042700832547957,0.04330549111440556,0.40750385607936995,1.095758767515835,0.2530780717671563,1.048471061981043,DE_conformal,,,run_2,kin8nm,
0.9823062843197071,0.24024300410022412,0.34074991941452026,0.0045328895867840936,0.0009256509729333821,0.04466839812111645,0.3626311669614787,0.3096179847565536,0.20358361337980158,0.8474070416421823,SQR_uncalibrated,,,run_2,kin8nm,
0.9499694935936547,0.20639091794050127,0.29273563623428345,0.004314169318101038,0.0007551910621666255,0.043204889544181654,0.34513354554809045,0.2956359853898113,0.20655243828714,1.0007825942548756,SQR_conformal,,,run_2,kin8nm,
0.9463087248322147,0.19212577547475637,0.26626014709472656,0.004117806939702237,0.0006460223269071901,0.03870949881010971,0.3294245552170909,0.3540465096296764,0.1937916507408364,1.0086707536350266,CLEAR,0.09,1.3431236343088166,run_3,kin8nm,
0.959731543624161,0.2677057668816174,0.3710037171840668,0.005324116768048199,0.0012060623042375283,0.04425712857909189,0.4259293414984052,0.907414278782735,0.2472746161618954,0.9236805730496015,DE_calibrated,,,run_3,kin8nm,5.5718574893192985
0.959731543624161,0.26833909623924,0.3718814253807068,0.005326252357616864,0.001209568953967231,0.04429420941052915,0.4261001889937537,0.8992553236632881,0.2466077612497808,0.9190153977037901,DE_conformal,,,run_3,kin8nm,
0.9847467968273338,0.24972773751335084,0.34608861804008484,0.004499958387546207,0.0009403182799499819,0.04419602009018652,0.3599966712758766,0.24997718646453404,0.20360236079023267,0.8152973426884459,SQR_uncalibrated,,,run_3,kin8nm,
0.9524100061012812,0.20704655150308557,0.28693830966949463,0.00420845472281453,0.0007262364697587732,0.04232543304003823,0.336676377749588,0.2658804811165999,0.20490718016612447,0.9896671964762029,SQR_conformal,,,run_3,kin8nm,
0.9536302623550945,0.21144048871440718,0.274309903383255,0.004124364628392243,0.0006634440002412942,0.03943604802631646,0.3299491701713713,0.33758989648882176,0.20917724864152734,0.9892960894734933,CLEAR,0.18302061063110558,1.1585732613503414,run_4,kin8nm,
0.9585112873703477,0.27162498632462106,0.3523895740509033,0.005083883314501085,0.0011150897700770179,0.0436050326831652,0.4067106650146206,0.5671305708636571,0.2535468627966373,0.9334445487780773,DE_calibrated,,,run_4,kin8nm,5.392001446071978
0.9591214154972544,0.27204952986979725,0.3529403507709503,0.005085132170256449,0.0011171638931419398,0.043625118522062155,0.40681057298822193,0.5653335896420422,0.25337819584693444,0.9313678871939279,DE_conformal,,,run_4,kin8nm,
0.9835265405735204,0.2679144054457905,0.34757569432258606,0.004558458897650035,0.000950322361291578,0.04426604154188282,0.3646767117946715,0.3510482086706386,0.21509852373952248,0.8028628523412688,SQR_uncalibrated,,,run_4,kin8nm,
0.9517998779743746,0.2194363383065834,0.2846832275390625,0.0042555579135975935,0.0007264148639349619,0.04221999356640118,0.3404446331514485,0.3572314900356407,0.2185761572218893,0.9960800426614287,SQR_conformal,,,run_4,kin8nm,
0.961561928004881,0.19788748207884582,0.27443361282348633,0.004070190390426441,0.0006683409205323369,0.038800777418316265,0.325615231425039,0.37523127618453417,0.18818599027938676,0.9509747069519353,CLEAR,0.1,1.2940628756821344,run_5,kin8nm,
0.9585112873703477,0.2688825719732461,0.37289077043533325,0.005297926870488259,0.0012086614882382486,0.04439169111579543,0.4238341497299765,0.6921779432197698,0.250959529074148,0.9333424893716001,DE_calibrated,,,run_5,kin8nm,5.708210761718672
0.9603416717510678,0.27003332597281,0.37448665499687195,0.005301802704728541,0.0012151628805904405,0.04445843120043105,0.42414421632593496,0.6804210207674224,0.25116407263401375,0.930122501469703,DE_conformal,,,run_5,kin8nm,
0.9847467968273338,0.24374314538589947,0.3380270004272461,0.004394427365636564,0.0009036277763245604,0.043773722208564896,0.351554188947865,0.27712785106403676,0.20084155396103795,0.8239885213717958,SQR_uncalibrated,,,run_5,kin8nm,
0.959731543624161,0.21066147682539138,0.29214879870414734,0.004134661993770732,0.0007361390164507672,0.042298004021794,0.3307729593897177,0.25619675513409884,0.20373768758526203,0.9671331021482006,SQR_conformal,,,run_5,kin8nm,
0.947528981086028,0.1931738001178632,0.268181711435318,0.003987087725141556,0.000621832056224972,0.039655146326017326,0.3189670179022248,0.24991639606470245,0.19560253252078835,1.0125727836872458,CLEAR,0.14876473740795018,1.1512254396181218,run_6,kin8nm,
0.9499694935936547,0.26256190099135446,0.36451268196105957,0.005270336170072161,0.0011838375282479277,0.044502391284441604,0.421626893428486,1.0369046237564987,0.2637470684671456,1.0045138592892429,DE_calibrated,,,run_6,kin8nm,5.429377014544597
