feature,importance_rf
smoker_yes,0.6820920900066029
age,0.1416887735361289
bmi,0.13051833606350657
children,0.020885856964825644
sex_male,0.008856035371780873
region_southeast,0.00665288465313886
region_northwest,0.004799890642940244
region_southwest,0.004506132761075982
