distance,CLEAR,PCS,CQR,S-Naive
0.01,6.301548733387209,5.4192790702475095,6.5178479867296195,5.518681987056742
0.26,6.2584830214999325,5.612364392310825,6.436744981329916,5.518681987056742
0.51,5.895310063707987,5.744090251877541,6.028304181079152,5.518681987056742
0.76,5.544090061332522,5.649889397703517,5.677180037962672,5.518681987056743
1.01,5.123229392068445,5.665855232828983,5.226544792248489,5.518681987056743
1.26,4.830529444974788,6.255960854027262,4.811368104635954,5.518681987056742
1.51,4.633256204240306,6.778996994034158,4.50725398071754,5.518681987056742
1.76,4.575491591167244,7.4020910604607,4.3436624683444505,5.518681987056742
2.01,4.555268200368075,8.80438540175855,4.102474800010504,5.518681987056742
2.26,4.757834314161024,11.050253598870956,3.9667154443903563,5.518681987056742
2.51,5.168064206876685,14.245361254759457,3.893949644482017,5.518681987056742
2.76,5.916407327557639,18.87879049604541,3.9467052275319703,5.518681987056742
3.01,6.974205235406827,25.324931194646428,4.078084763728262,5.518681987056742
3.26,8.207406435912484,33.79619556300025,4.074650189249398,5.518681987056742
3.51,9.61407342386923,43.5006591582552,4.071723048314032,5.518681987056742
3.76,11.142584456697803,54.00544014663556,4.069712422278107,5.518681987056742
4.01,12.740731356151276,64.905855035147,4.068273778325799,5.518681987056742
4.26,14.3827317939539,76.10565783741103,4.069782635016023,5.518681987056742
4.51,16.061301742260333,87.4341777797571,4.070325351018193,5.518681987056743
4.76,17.734893304540012,98.79559283509438,4.068824810631754,5.518681987056742
5.01,19.43163760822852,110.35906622620008,4.069832041040837,5.518681987056742
5.26,21.12346304319992,121.84912875760243,4.068795193984986,5.518681987056742
5.51,22.868306128289884,133.6328966815442,4.072039817597449,5.518681987056742
5.76,24.554280896229006,145.16462745726295,4.065777388922452,5.518681987056743
6.01,26.29297260262449,156.93553840351234,4.066394169299483,5.518681987056742
