distance,CLEAR,PCS,CQR,S-Naive
0.01,0.87078,0.8139100000000005,0.8817399999999996,0.8311899999999999
0.26,0.8862800000000002,0.8408399999999997,0.8954200000000001,0.8458199999999999
0.51,0.8899800000000004,0.8763900000000006,0.8974600000000003,0.8738300000000001
0.76,0.9013300000000005,0.9005700000000004,0.9080000000000006,0.9069000000000008
1.01,0.9040600000000002,0.9260200000000005,0.9097500000000001,0.9341399999999999
1.26,0.9044099999999999,0.9621899999999998,0.9023500000000001,0.9518499999999998
1.51,0.9095400000000002,0.9808599999999997,0.89929,0.9648499999999995
1.76,0.9169300000000001,0.9908299999999994,0.8988900000000001,0.9735299999999996
2.01,0.92329,0.9979599999999997,0.88981,0.9786999999999996
2.26,0.93875,0.9996900000000004,0.8875000000000003,0.9813799999999996
2.51,0.9581299999999995,0.99996,0.8872699999999998,0.9838599999999996
2.76,0.9740099999999997,1.0,0.8908299999999997,0.98453
3.01,0.9861800000000001,1.0,0.8981500000000002,0.9847399999999997
3.26,0.9915699999999997,1.0,0.8949699999999996,0.9836699999999996
3.51,0.9953899999999999,1.0,0.8880499999999999,0.9803999999999992
3.76,0.9967599999999998,1.0,0.8766799999999998,0.9744699999999992
4.01,0.9977800000000001,1.0,0.85557,0.9645699999999994
4.26,0.9983499999999998,1.0,0.8284499999999998,0.9492299999999994
4.51,0.9983999999999998,1.0,0.7939399999999998,0.9269399999999997
4.76,0.9983599999999998,1.0,0.7515900000000002,0.89628
5.01,0.9981300000000001,1.0,0.7034600000000001,0.8585399999999995
5.26,0.9970100000000001,1.0,0.6502599999999997,0.8135199999999998
5.51,0.9963500000000001,1.0,0.5961399999999998,0.7601099999999998
5.76,0.9948,1.0,0.5404300000000001,0.7055199999999998
6.01,0.99312,1.0,0.4889499999999999,0.6501699999999999
