distance,CLEAR,PCS,CQR,S-Naive
0.01,3.1963581549169184,2.820422852278461,3.352779431197176,3.2974650816232036
0.26,3.293308654637957,2.975047308150404,3.428932214915284,3.2974650816232036
0.51,3.3182831890860536,3.1754475686156707,3.4268516360918992,3.2974650816232036
0.76,3.3776738127230908,3.349692473273023,3.4707566993798107,3.2974650816232036
1.01,3.3931605029075684,3.687359197996198,3.440422249243986,3.2974650816232036
1.26,3.4325968120992845,4.3257523436741625,3.3820405586589675,3.2974650816232036
1.51,3.474265162295918,4.900600785982433,3.339453315343688,3.2974650816232036
1.76,3.579946832840406,5.688852716865304,3.332049673470388,3.2974650816232036
2.01,3.7047859997161,7.106568847750271,3.2562448381386497,3.297465081623203
2.26,3.951744051731523,9.168811579776115,3.2175516336934065,3.297465081623203
2.51,4.356939294520254,12.058111525785794,3.2205308554635748,3.2974650816232036
2.76,5.077887246519507,16.349998555620992,3.344471763886046,3.297465081623203
3.01,6.007632656982912,22.259152110039846,3.4747473767335504,3.2974650816232036
3.26,7.046776384939132,29.866726049938915,3.4742998399273852,3.297465081623203
3.51,8.232233096124167,38.54927618465064,3.4705555061055495,3.297465081623203
3.76,9.504517258579945,47.846839951194106,3.4709825078882095,3.297465081623203
4.01,10.83610705125962,57.48870531396857,3.468376472455394,3.2974650816232036
4.26,12.209752431972456,67.39546303695259,3.469889856445622,3.2974650816232036
4.51,13.599848708409914,77.36749267866456,3.470433341401945,3.2974650816232036
4.76,14.987890275928713,87.37700577543009,3.4692703914187657,3.297465081623203
5.01,16.396132524899688,97.54569613254439,3.469714458606372,3.2974650816232036
5.26,17.800932140753417,107.65383538459697,3.4688196143902625,3.2974650816232036
5.51,19.247527447981955,118.0440445578508,3.471986738415191,3.2974650816232036
5.76,20.640415640797038,128.17106771510342,3.4671669074933016,3.2974650816232036
6.01,22.08614004833685,138.55037459761482,3.4695880113033746,3.2974650816232036
