feature,importance_rf
cat79_D,0.13154006849785346
cat80_B,0.10749225594847085
cat80_D,0.08526806440084608
cont7,0.053179784043620774
cat57_B,0.0405281989337096
cat79_B,0.03937167222562858
cont2,0.03518777215029103
cat12_B,0.03318068618580886
cont12,0.030030247724704917
cont11,0.02276570449238639
cont14,0.021345965178741166
cat10_B,0.019614139374280377
cont6,0.018230475381626064
cont3,0.018087215663374387
cat7_B,0.0154619713433501
cat89_B,0.012746661958128055
cont13,0.012395578214944983
cont1,0.01236214592120019
cont4,0.012081717234599788
cat81_D,0.012009896350534033
cont8,0.011986233177909741
cont5,0.011915489212515708
cat72_B,0.011109530510575172
cont10,0.009869600718697354
cont9,0.009818722496782473
cat87_B,0.009503538469109717
cat81_B,0.00817883398159077
cat1_B,0.006307739516474455
cat53_B,0.005416037507927345
cat2_B,0.005031326955136114
cat9_B,0.004881454714815146
cat91_C,0.004278806017139996
cat94_D,0.004206708023241479
cat13_B,0.003894775425652611
cat94_B,0.0036659988945918517
cat23_B,0.0034509366176161834
cat44_B,0.003431843904526228
cat106_F,0.003416683417530864
cat11_B,0.003275196447383124
cat100_F,0.0027713578804655875
cat6_B,0.002751074510575522
cat90_B,0.0026606463415482524
cat36_B,0.0026517841796976204
cat5_B,0.0026265327220195162
cat87_D,0.0025310804691254184
cat4_B,0.002419877866647023
cat38_B,0.0023130157095275555
cat100_M,0.0022705008684329197
cat25_B,0.002242014978617147
cat50_B,0.0022243798219641593
cat110_CL,0.0020827217784881403
cat108_D,0.0020654922406841336
cat92_H,0.001981276658952321
cat27_B,0.0019617486479595694
cat91_B,0.0018087157486683686
cat115_O,0.0017871987713579047
cat100_G,0.0017806456867414206
cat108_E,0.0017436258082819663
cat100_I,0.0017127140039058018
cat37_B,0.0016371731959246576
cat108_B,0.0016103173609369598
cat97_C,0.0015791381137451248
cat105_F,0.001568475288682932
cat82_B,0.001520527591801806
cat101_F,0.0015142810733879007
cat106_D,0.0015053995760222886
cat103_B,0.0014942340770995545
cat113_AT,0.0013283552638747032
cat109_BI,0.0013120524344434272
cat107_G,0.0013029668551984472
cat84_C,0.0012928157214864532
cat100_K,0.001278180019566115
cat107_F,0.0012706540682675006
cat81_C,0.0012703995653592268
cat83_B,0.00126063663333082
cat115_K,0.001249262384998032
cat111_C,0.0012175379081132036
