Method,PICP_mean,PICP_std,NIW_mean,NIW_std,MPIW_mean,MPIW_std,QuantileLoss_mean,QuantileLoss_std,ExpectileLoss_mean,ExpectileLoss_std,CRPS_mean,CRPS_std,AUC_mean,AUC_std,NCIW_mean,NCIW_std,IntervalScoreLoss_mean,IntervalScoreLoss_std
CLEAR,0.9509015439072392,0.004713649525633491,0.21178869556904145,0.12139201266950882,26051.128055648674,67005.81426627272,472.41362765910276,1228.334774734402,103956755.33140981,334951467.9403699,4028.7554150958854,10324.750342100248,0.6690816644842696,0.46679357389784076,0.2095847408480101,0.11940929703854528,37793.09021528003,98266.78198684241
DE,0.9504907648974078,0.0026683110144109685,0.28393032674916424,0.15098758245551736,36287.31525683269,93863.18197362393,586.0796744673299,1506.8798533606773,187665396.1762872,596630410.5989397,4429.641587530795,11526.539217520562,1.3994288906997385,0.890471661042077,0.27798295461031125,0.14326157885080334,46886.37396619095,120550.38829976937
SQR,0.9578321695118184,0.02232499347935187,0.26373767313706253,0.13965505256051214,27677.207050136083,71826.8652430662,463.2263485946104,1198.4905614425527,107814290.55839208,345183077.89804435,4399.715388313046,11364.252762233958,0.9421299854447396,0.9780188876665902,0.24840646619765816,0.1255024466665065,37058.10788716375,95879.24491518718
DE-conformal,0.9518235077164228,0.002970743023194454,0.28737087686620044,0.15451241672539218,36449.40341724596,93953.55094679262,586.567050725202,1506.8747036492025,187804053.8910144,596915961.5491679,4439.184671908222,11529.95014615663,1.3548078796285983,0.8735753656337081,0.27591648002627883,0.14292841717412447,46925.36404883914,120549.97626157914
SQR-conformal,0.9524049412498364,0.0049382779691931845,0.25506148862481703,0.13159501736297022,27588.380967138433,71325.7340655517,462.85925523418047,1198.2300726378394,107474062.02673082,344430359.5479815,4403.1940117494305,11355.748773191983,0.9779063283638114,1.043686150978607,0.24769267295026948,0.1243154047985288,37028.7404341834,95858.40585112805
